AllLabels	SegmentationLabels	GenerationClasses	TopologicalClasses	SegmentationNames
0	0	0	0	Background
14	14	1	1	3rd-Ventricle
15	15	1	2	4th-Ventricle
85	85	2	0	Optic-Chiasm
172	172	3	3	Vermis
173	173	4	3	Midbrain
174	174	5	3	Pons
175	175	6	3	Medulla
251	2	7	4	CC_Posterior
252	2	7	4	CC_Mid_Posterior
253	2	7	4	CC_Central
254	2	7	4	CC_Mid_Anterior
255	2	7	4	CC_Anterior
2	2	7	4	Left-Cerebral-White-Matter
3	3	8	4	Left-Cerebral-Cortex
4	4	1	5	Left-Lateral-Ventricle
7	7	9	6	Left-Cerebellum-White-Matter
8	8	10	6	Left-Cerebellum-Cortex
10	10	11	7	Left-Thalamus-Proper
11	11	12	8	Left-Caudate
12	12	13	9	Left-Putamen
13	13	14	10	Left-Pallidum
17	17	15	5	Left-Hippocampus
18	18	16	11	Left-Amygdala
26	26	17	12	Left-Accumbens-area
28	28	18	13	Left-VentralDC
41	41	7	14	Right-Cerebral-White-Matter
42	42	8	14	Right-Cerebral-Cortex
43	43	1	15	Right-Lateral-Ventricle
46	46	9	16	Right-Cerebellum-White-Matter
47	47	10	16	Right-Cerebellum-Cortex
49	49	11	17	Right-Thalamus-Proper
50	50	12	18	Right-Caudate
51	51	13	19	Right-Putamen
52	52	14	20	Right-Pallidum
53	53	15	15	Right-Hippocampus
54	54	16	21	Right-Amygdala
58	58	17	22	Right-Accumbens-area
60	60	18	23	Right-VentralDC
