#No. "DHCP Label Name:" R G B A
0 Unknown 0 0 0 0
1 Left-Hippocampus 220 216 20 0
2 Right-Hippocampus 220 216 20 0
3 Left-Amygdala 103 255 255 0
4 Right-Amygdala 103 255 255 0
5 Left-Cerebral-Cortex 205 62 78 0
6 Right-Cerebral-Cortex 205 62 78 0
7 Left-Cerebral-White-Matter 245 245 245 0
8 Right-Cerebral-White-Matter 245 245 245 0
9 Left-Thalamus 0 118 14 0
10 Right-Thalamus 0 118 14 0
17 Left-Cerebellum 230 148 34 0
18 Right-Cerebellum 230 148 34 0
19 Brainstem 119 159 176 0
40 Right-Caudate_nucleus 122 186 220 0
41 Left-Caudate_nucleus 122 186 220 0
44 Right-Subthalamic_nucleus 207 63 79 0
45 Left-Subthalamic_nucleus 207 63 79 0
46 Right-Lentiform_Nucleus 180 220 140 0
47 Left-Lentiform_Nucleus 180 220 140 0
49 Left-Lateral-Ventricle 120 18 134 0
50 Right-Lateral-Ventricle 120 18 134 0
88 Left-IntraCranialBackground 150 150 200 0
85 Right-IntraCranialBackground 119 159 176 0
48 Corpus_Callosum 250 255 50 0
83 CSF 60 60 60 0
84 Extra_cranial_background 100 100 100 0
