ID LabelName R G B A
0 Background 0 0 0 0
2 Left-Cerebral-White-Matter 245 245 245 0
3 Left-Cerebral-Cortex 205 62 78 0
4 Left-Lateral-Ventricle 0 0 0 0
5 "Left-Inf-Lat-Vent " 0 0 0 0
7 Left-Cerebellum-White-Matter 0 0 0 0
8 Left-Cerebellum-Cortex 0 0 0 0
10 Left-Thalamus-Proper 0 0 0 0
11 Left-Caudate 0 0 0 0
12 Left-Putamen 0 0 0 0
13 Left-Pallidum 0 0 0 0
14 3rd-Ventricle 0 0 0 0
15 4th-Ventricle 0 0 0 0
16 Brain-Stem 0 0 0 0
17 Left-Hippocampus 220 216 20 0
18 Left-Amygdala 103 255 255 0
24 CSF 0 0 0 0
26 Left-Accumbens-area 0 0 0 0
28 Left-VentralDC 0 0 0 0
31 Left-choroid-plexus 0 0 0 0
41 Right-Cerebral-White-Matter 245 245 245 0
42 Right-Cerebral-Cortex 205 62 78 0
43 Right-Lateral-Ventricle 0 0 0 0
44 Right-Inf-Lat-Vent 0 0 0 0
46 Right-Cerebellum-White-Matter 0 0 0 0
47 Right-Cerebellum-Cortex 0 0 0 0
49 Right-Thalamus-Proper 0 0 0 0
50 Right-Caudate 0 0 0 0
51 Right-Putamen 0 0 0 0
52 Right-Pallidum 0 0 0 0
53 Right-Hippocampus 220 216 20 0
54 Right-Amygdala 103 255 255 0
58 Right-Accumbens-area 0 0 0 0
60 Right-VentralDC 0 0 0 0
63 Right-choroid-plexus 0 0 0 0
77 WM-hypointensities 0 0 0 0
