"Output label"	"Sampled Prior (Idx)"	"Original"	0	1	2	3	4	5	6	3	8	9	10	11	12	13	14	15	16	17	18	19	20	9	22	23	24	9	26	27	28	13	30	31	32	33	34	35	36	37	38	9	40
0	0	0																																									
2	9	9																																									
3	10	10																																									
4	11	11																																									
5	12	12																																									
7	13	13																																									
8	14	14																																									
10	15	15																																									
11	16	16																																									
12	17	17																																									
13	18	18																																									
14	1	1																																									
15	2	2																																									
16	3	3																																									
17	19	19																																									
18	20	20																																									
21	9	21																																									
24	4	4																																									
26	22	22																																									
28	23	23																																									
31	24	24																																									
41	9	25																																									
42	26	26																																									
43	27	27																																									
44	28	28																																									
46	13	29																																									
47	30	30																																									
49	31	31																																									
50	32	32																																									
51	33	33																																									
52	34	34																																									
53	35	35																																									
54	36	36																																									
58	37	37																																									
60	38	38																																									
61	9	39																																									
63	40	40																																									
77	5	5																																									
85	6	6																																									
170	3	7																																									
172	8	8																																									
